DATE,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
1997-10-12,1.10148,1.21686,179.0,0.0,157.0,205.0,0.0,29.0,570.0,192.0,46842.0
1997-10-19,1.20007,1.28064,199.0,0.0,151.0,242.0,0.0,23.0,615.0,191.0,48023.0
1997-10-26,1.37876,1.23906,228.0,0.0,153.0,266.0,0.0,34.0,681.0,219.0,54961.0
1997-11-02,1.1992,1.14473,188.0,0.0,193.0,236.0,0.0,36.0,653.0,213.0,57044.0
1997-11-09,1.65618,1.26112,217.0,0.0,162.0,280.0,0.0,41.0,700.0,213.0,55506.0
1997-11-16,1.41326,1.28275,178.0,0.0,148.0,281.0,0.0,48.0,655.0,195.0,51062.0
1997-11-23,1.9868,1.44579,294.0,0.0,240.0,328.0,0.0,70.0,932.0,248.0,64463.0
1997-11-30,2.44749,1.64796,288.0,0.0,293.0,456.0,0.0,63.0,1100.0,256.0,66749.0
1997-12-07,1.73901,1.67517,268.0,0.0,206.0,343.0,0.0,69.0,886.0,252.0,52890.0
1997-12-14,1.93919,1.61739,299.0,0.0,282.0,415.0,0.0,102.0,1098.0,253.0,67887.0
1997-12-21,2.28166,1.76632,346.0,0.0,268.0,388.0,0.0,81.0,1083.0,242.0,61314.0
1997-12-28,2.50761,2.10398,348.0,0.0,235.0,362.0,0.0,59.0,1004.0,190.0,47719.0
1998-01-04,4.11352,3.13655,510.0,0.0,404.0,492.0,0.0,113.0,1519.0,251.0,48429.0
1998-01-11,5.62372,3.7185,579.0,0.0,584.0,576.0,0.0,207.0,1946.0,250.0,52333.0
1998-01-18,4.19434,3.68922,690.0,0.0,654.0,1121.0,0.0,148.0,2613.0,255.0,70828.0
1998-01-25,5.42123,4.60396,856.0,0.0,679.0,1440.0,0.0,151.0,3126.0,245.0,67898.0
1998-02-01,5.66137,4.91007,824.0,0.0,817.0,1600.0,0.0,196.0,3437.0,245.0,69999.0
1998-02-08,5.97802,4.82687,881.0,0.0,769.0,1471.0,0.0,233.0,3354.0,239.0,69486.0
1998-02-15,4.7358,3.9459,699.0,0.0,671.0,1101.0,0.0,146.0,2617.0,234.0,66322.0
1998-02-22,3.44581,3.1081,457.0,0.0,523.0,849.0,0.0,119.0,1948.0,223.0,62675.0
1998-03-01,2.47799,2.13953,313.0,0.0,330.0,534.0,0.0,112.0,1289.0,217.0,60247.0
1998-03-08,1.65732,1.43954,241.0,0.0,214.0,308.0,0.0,64.0,827.0,211.0,57449.0
1998-03-15,1.96952,1.47879,201.0,0.0,183.0,305.0,0.0,59.0,748.0,208.0,50582.0
1998-03-22,1.58545,1.08556,162.0,0.0,123.0,249.0,0.0,51.0,585.0,200.0,53889.0
1998-03-29,1.80474,0.997967,156.0,0.0,93.0,196.0,0.0,41.0,486.0,177.0,48699.0
1998-04-05,1.04624,0.744205,90.0,0.0,92.0,144.0,0.0,32.0,358.0,182.0,48105.0
1998-04-12,1.4004,0.856631,82.0,0.0,93.0,152.0,0.0,41.0,368.0,170.0,42959.0
1998-04-19,0.79687,0.621737,64.0,0.0,73.0,106.0,0.0,19.0,262.0,156.0,42140.0
1998-04-26,0.717097,0.670954,82.0,0.0,68.0,100.0,0.0,15.0,265.0,155.0,39496.0
1998-05-03,1.00238,0.694082,58.0,0.0,61.0,120.0,0.0,27.0,266.0,148.0,38324.0
1998-05-10,0.908403,0.583457,39.0,0.0,64.0,93.0,0.0,13.0,209.0,136.0,35821.0
1998-05-17,0.443014,0.57764,79.0,0.0,37.0,61.0,0.0,9.0,186.0,131.0,32200.0
1998-05-24,0.638986,0.605216,54.0,0.0,40.0,52.0,0.0,19.0,165.0,120.0,27263.0
1998-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-11,1.57733,0.697291,115.0,0.0,139.0,210.0,0.0,26.0,490.0,304.0,70272.0
1998-10-18,1.3088,0.784777,133.0,0.0,174.0,262.0,0.0,36.0,605.0,328.0,77092.0
1998-10-25,1.41744,0.902906,217.0,0.0,225.0,287.0,0.0,54.0,783.0,350.0,86720.0
1998-11-01,1.18272,1.13792,278.0,0.0,226.0,530.0,0.0,52.0,1086.0,377.0,95437.0
1998-11-08,2.33432,1.01551,298.0,0.0,262.0,414.0,0.0,60.0,1034.0,388.0,101821.0
1998-11-15,1.81577,1.0009,258.0,0.0,292.0,402.0,0.0,70.0,1022.0,400.0,102108.0
1998-11-22,2.17975,1.13895,355.0,0.0,281.0,478.0,0.0,64.0,1178.0,372.0,103429.0
1998-11-29,2.1124,1.44938,291.0,0.0,322.0,512.0,0.0,83.0,1208.0,403.0,83346.0
1998-12-06,2.04854,1.13908,319.0,0.0,310.0,453.0,0.0,94.0,1176.0,392.0,103241.0
1998-12-13,1.93248,1.16023,353.0,0.0,303.0,461.0,0.0,85.0,1202.0,399.0,103600.0
1998-12-20,1.90468,1.17127,312.0,0.0,320.0,426.0,0.0,83.0,1141.0,396.0,97416.0
1998-12-27,2.55983,1.49061,335.0,0.0,296.0,359.0,0.0,74.0,1064.0,384.0,71380.0
1999-01-03,3.99108,1.84288,418.0,0.0,466.0,377.0,0.0,162.0,1423.0,382.0,77216.0
1999-01-10,3.08581,1.8239,439.0,0.0,659.0,548.0,0.0,134.0,1780.0,396.0,97593.0
1999-01-17,4.16383,2.54354,431.0,0.0,962.0,874.0,0.0,140.0,2407.0,396.0,94632.0
1999-01-24,5.58049,3.61581,801.0,0.0,1168.0,1689.0,0.0,206.0,3864.0,399.0,106864.0
1999-01-31,5.25328,4.07912,755.0,0.0,1419.0,2185.0,0.0,186.0,4545.0,397.0,111421.0
1999-02-07,6.74667,5.0776,970.0,0.0,1562.0,2919.0,0.0,219.0,5670.0,397.0,111667.0
1999-02-14,7.57188,5.04884,1029.0,0.0,1591.0,2911.0,0.0,237.0,5768.0,379.0,114244.0
1999-02-21,6.87287,4.69331,822.0,0.0,1599.0,2275.0,0.0,224.0,4920.0,376.0,104830.0
1999-02-28,6.35098,4.23423,800.0,0.0,1520.0,1932.0,0.0,234.0,4486.0,352.0,105946.0
1999-03-07,5.41099,4.02363,769.0,0.0,1357.0,1543.0,0.0,241.0,3910.0,359.0,97176.0
1999-03-14,4.55008,2.99348,539.0,0.0,1041.0,1140.0,0.0,202.0,2922.0,351.0,97612.0
1999-03-21,3.85915,2.37759,458.0,0.0,704.0,778.0,0.0,130.0,2070.0,339.0,87063.0
1999-03-28,2.99601,2.01715,378.0,0.0,548.0,641.0,0.0,129.0,1696.0,321.0,84079.0
1999-04-04,1.97814,1.37688,243.0,0.0,382.0,397.0,0.0,69.0,1091.0,313.0,79237.0
1999-04-11,1.16887,0.88283,127.0,0.0,202.0,265.0,0.0,38.0,632.0,277.0,71588.0
1999-04-18,1.09302,0.613811,102.0,0.0,102.0,175.0,0.0,17.0,396.0,268.0,64515.0
1999-04-25,0.633169,0.42177,59.0,0.0,66.0,133.0,0.0,13.0,271.0,258.0,64253.0
1999-05-02,0.639561,0.615513,111.0,0.0,118.0,150.0,0.0,20.0,399.0,255.0,64824.0
1999-05-09,1.55531,0.302287,35.0,0.0,50.0,84.0,0.0,11.0,180.0,237.0,59546.0
1999-05-16,0.80802,0.522623,102.0,0.0,88.0,86.0,0.0,16.0,292.0,227.0,55872.0
1999-05-23,1.33997,0.529526,100.0,0.0,68.0,100.0,0.0,15.0,283.0,222.0,53444.0
1999-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-10,0.831219,0.977255,264.0,0.0,228.0,273.0,0.0,26.0,791.0,316.0,80941.0
1999-10-17,1.40445,1.06706,292.0,0.0,297.0,351.0,0.0,57.0,997.0,361.0,93434.0
1999-10-24,1.31721,0.942688,346.0,0.0,293.0,371.0,0.0,57.0,1067.0,386.0,113187.0
1999-10-31,1.38161,1.01621,371.0,0.0,289.0,367.0,0.0,62.0,1089.0,355.0,107163.0
1999-11-07,1.41607,1.19439,438.0,0.0,434.0,607.0,0.0,91.0,1570.0,449.0,131448.0
1999-11-14,1.48438,1.24149,473.0,0.0,461.0,535.0,0.0,101.0,1570.0,456.0,126461.0
1999-11-21,1.52614,1.28568,443.0,0.0,544.0,622.0,0.0,92.0,1701.0,459.0,132304.0
1999-11-28,1.85336,1.69132,483.0,0.0,714.0,504.0,0.0,132.0,1833.0,455.0,108377.0
1999-12-05,2.32907,1.73731,518.0,0.0,994.0,835.0,0.0,137.0,2484.0,469.0,142980.0
1999-12-12,2.70254,2.33715,643.0,0.0,1316.0,1124.0,0.0,181.0,3264.0,480.0,139657.0
1999-12-19,3.50454,2.93022,828.0,0.0,1676.0,1405.0,0.0,299.0,4208.0,475.0,143607.0
1999-12-26,5.40799,4.41985,1130.0,0.0,2189.0,1399.0,0.0,450.0,5168.0,472.0,116927.0
2000-01-02,7.04228,5.64698,1339.0,0.0,3146.0,1697.0,0.0,664.0,6846.0,471.0,121233.0
2000-01-09,6.76846,5.15025,1314.0,0.0,3250.0,2043.0,0.0,665.0,7272.0,482.0,141197.0
2000-01-16,5.52808,3.90316,1011.0,0.0,2251.0,1746.0,0.0,462.0,5470.0,467.0,140143.0
2000-01-23,3.80508,2.91178,851.0,0.0,1357.0,1334.0,0.0,315.0,3857.0,450.0,132462.0
2000-01-30,3.41177,2.1567,722.0,0.0,962.0,1048.0,0.0,169.0,2901.0,433.0,134511.0
2000-02-06,2.4,1.81295,633.0,0.0,786.0,914.0,0.0,145.0,2478.0,441.0,136683.0
2000-02-13,1.8912,1.6166,599.0,0.0,646.0,862.0,0.0,116.0,2223.0,437.0,137511.0
2000-02-20,1.35503,1.26702,539.0,0.0,447.0,610.0,0.0,72.0,1668.0,413.0,131648.0
2000-02-27,1.33212,1.14107,452.0,0.0,328.0,481.0,0.0,64.0,1325.0,382.0,116119.0
2000-03-05,1.49127,1.23509,499.0,0.0,360.0,477.0,0.0,49.0,1385.0,370.0,112138.0
2000-03-12,1.26826,1.01933,381.0,0.0,256.0,394.0,0.0,57.0,1088.0,363.0,106737.0
2000-03-19,1.05854,0.926459,342.0,0.0,206.0,342.0,0.0,44.0,934.0,338.0,100814.0
2000-03-26,0.92201,0.911006,305.0,0.0,229.0,346.0,0.0,37.0,917.0,326.0,100658.0
2000-04-02,0.892334,0.823722,282.0,0.0,206.0,320.0,0.0,29.0,837.0,320.0,101612.0
2000-04-09,0.929201,0.725443,186.0,0.0,171.0,286.0,0.0,23.0,666.0,295.0,91806.0
2000-04-16,0.655592,0.579775,178.0,0.0,127.0,196.0,0.0,21.0,522.0,289.0,90035.0
